state,year,pr_mm,rx5day_mm,r20mm_days,flood_count,total_damage_usd,damage_per_capita,population
Johor,2014,1922.44,96.07,10,1,284000000,9972.540399322988,28478.20000000001
Johor,2015,2357.0299999999984,288.49,23,0,0,0,28882.39999999998
Johor,2016,2325.109999999999,278.52,25,2,132000000,4518.47439873483,29213.399999999983
Johor,2017,3140.189999999999,299.45,39,1,0,0,29578.1
Johor,2018,2219.029999999999,113.28,12,1,0,0,29993.899999999983
Johor,2019,2195.369999999999,163.82999999999998,19,2,0,0,30090.799999999992
Johor,2020,2425.469999999998,132.3,25,1,0,0,32076.89999999997
Kedah,2014,2543.169999999999,189.31,35,0,0,0,16500.500000000007
Kedah,2015,2356.2199999999984,176.79000000000002,29,0,0,0,16772.000000000004
Kedah,2016,2132.4,286.87,28,1,0,0,16955.399999999998
Kedah,2017,2128.499999999999,207.2,24,1,0,0,17150.599999999988
Kedah,2018,2267.4099999999976,215.21,22,0,0,0,17302.89999999999
Kedah,2019,2528.0999999999967,259.90999999999997,35,0,0,0,17389.39999999998
Kedah,2020,2055.2699999999986,142.38,22,0,0,0,17051.3
Kelantan,2014,2805.0399999999995,427.12,30,0,0,0,13787.400000000023
Kelantan,2015,2281.2,178.82999999999998,24,0,0,0,14084.700000000012
Kelantan,2016,2758.6799999999994,468.11,37,0,0,0,14373.50000000001
Kelantan,2017,2878.05,383.26,30,1,0,0,14633.10000000002
Kelantan,2018,3090.060000000001,302.23,37,0,0,0,14883.800000000016
Kelantan,2019,2959.49,232.48,32,1,0,0,15069.200000000012
Kelantan,2020,3012.169999999999,207.11,35,1,0,0,14340.49999999999
Melaka,2014,1578.769999999999,113.84,16,0,0,0,6973.900000000007
Melaka,2015,2069.9600000000005,164.17999999999998,26,0,0,0,7110.700000000005
Melaka,2016,1998.179999999998,190.56,26,0,0,0,7210.600000000005
Melaka,2017,3167.8200000000006,344.47,50,0,0,0,7304.000000000004
Melaka,2018,1778.719999999999,116.94,22,0,0,0,7379.200000000001
Melaka,2019,2032.55,175.25,29,0,0,0,7427.000000000011
Melaka,2020,1813.53,99.39,21,0,0,0,7987.200000000009
