start_year,location,admin_units,total_damage_thousand_usd,total_deaths,latitude,longitude,total_damage_usd,admin_l,loc_l,state_guess
2000,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)","[{""adm2_code"":37347,""adm2_name"":""Kota Setar""},{""adm2_code"":37349,""adm2_name"":""Kubang Pasu""},{""adm2_code"":37352,""adm2_name"":""Padang Terap""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""}]",1000,12,NA,NA,1000000,"[{""adm2_code"":37347,""adm2_name"":""kota setar""},{""adm2_code"":37349,""adm2_name"":""kubang pasu""},{""adm2_code"":37352,""adm2_name"":""padang terap""},{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37360,""adm2_name"":""kuala krai""},{""adm2_code"":37362,""adm2_name"":""pasir mas""},{""adm2_code"":37363,""adm2_name"":""pasir puteh""},{""adm2_code"":37365,""adm2_name"":""tumpat""},{""adm2_code"":37463,""adm2_name"":""besut""}]","kuala krai, pasir puteh, kota bharu, pasir mas, tumpat districts (kelantan province), kubang pasu, kota setar, padang terap districts (kedah province), besut district (terengganu province)",Kedah
2001,"Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)","[{""adm2_code"":37401,""adm2_name"":""Seberang Perai Selatan""}]",0,NA,NA,NA,0,"[{""adm2_code"":37401,""adm2_name"":""seberang perai selatan""}]","teluk ipil area (seberang perai selatan district, pulau pinang province)",NA
2001,"Inanam borough (Kota Kinabalu district, Sabah province), Beaufort, Papar, Penampang, Tuaran districts (Sabah province)","[{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37415,""adm2_name"":""Papar""},{""adm2_code"":37416,""adm2_name"":""Penampang""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]",0,NA,NA,NA,0,"[{""adm2_code"":37405,""adm2_name"":""beaufort""},{""adm2_code"":37409,""adm2_name"":""kota kinabalu""},{""adm2_code"":37415,""adm2_name"":""papar""},{""adm2_code"":37416,""adm2_name"":""penampang""},{""adm2_code"":37426,""adm2_name"":""tuaran""}]","inanam borough (kota kinabalu district, sabah province), beaufort, papar, penampang, tuaran districts (sabah province)",Sabah
2001,Kuala Lumpur province,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""}]",0,NA,NA,NA,0,"[{""adm1_code"":1894,""adm1_name"":""kuala lumpur""}]",kuala lumpur province,Kuala Lumpur
2001,"Pahang, Kelantan, Terengganu provinces","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,11,NA,NA,0,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","pahang, kelantan, terengganu provinces",Kelantan
2003,"Kuala Terengganu, Kemaman, Marang, Dungun districts (Terengganu province), Kota Bharu district (Kelantan province), Kuantan district (Pahang province)","[{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""}]",0,5,NA,NA,0,"[{""adm2_code"":37359,""adm2_name"":""kota bharu""},{""adm2_code"":37381,""adm2_name"":""kuantan""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37466,""adm2_name"":""kemaman""},{""adm2_code"":37467,""adm2_name"":""kuala terengganu""},{""adm2_code"":37468,""adm2_name"":""marang""}]","kuala terengganu, kemaman, marang, dungun districts (terengganu province), kota bharu district (kelantan province), kuantan district (pahang province)",Kelantan
2003,"Kampung Pengkalan, Buang Sayang, Muhibbah Hujung, Muhibbah Baru, Sinar Baru, Lokan, Sri Tanjung areas (Kinabatangan district, Sabah province), Beluran area (Labuk & Sugut district, Sabah province), Kota Marud district (Sabah province)","[{""adm2_code"":37407,""adm2_name"":""Kinabatangan""},{""adm2_code"":37410,""adm2_name"":""Kota Marud""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""}]",0,NA,NA,NA,0,"[{""adm2_code"":37407,""adm2_name"":""kinabatangan""},{""adm2_code"":37410,""adm2_name"":""kota marud""},{""adm2_code"":37413,""adm2_name"":""labuk \u0026 sugut""}]","kampung pengkalan, buang sayang, muhibbah hujung, muhibbah baru, sinar baru, lokan, sri tanjung areas (kinabatangan district, sabah province), beluran area (labuk & sugut district, sabah province), kota marud district (sabah province)",Sabah
2003,"Kedah, Pahang, Perak provinces","[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""}]",0,3,NA,NA,0,"[{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""}]","kedah, pahang, perak provinces",Kedah
2004,"Kuching, Bau, Mukah, Sibu, Samarahan districts (Sarawak province), Johor Baru, Pontian, Kota Tinggi districts (Johor province)","[{""adm2_code"":37338,""adm2_name"":""Johor Bahru""},{""adm2_code"":37340,""adm2_name"":""Kota Tinggi""},{""adm2_code"":37343,""adm2_name"":""Pontian""},{""adm2_code"":37427,""adm2_name"":""Bau""},{""adm2_code"":37436,""adm2_name"":""Kuching""},{""adm2_code"":37444,""adm2_name"":""Mukah""},{""adm2_code"":37445,""adm2_name"":""Samarahan""},{""adm2_code"":37449,""adm2_name"":""Sibu""}]",0,3,NA,NA,0,"[{""adm2_code"":37338,""adm2_name"":""johor bahru""},{""adm2_code"":37340,""adm2_name"":""kota tinggi""},{""adm2_code"":37343,""adm2_name"":""pontian""},{""adm2_code"":37427,""adm2_name"":""bau""},{""adm2_code"":37436,""adm2_name"":""kuching""},{""adm2_code"":37444,""adm2_name"":""mukah""},{""adm2_code"":37445,""adm2_name"":""samarahan""},{""adm2_code"":37449,""adm2_name"":""sibu""}]","kuching, bau, mukah, sibu, samarahan districts (sarawak province), johor baru, pontian, kota tinggi districts (johor province)",Johor
2004,Johor province,"[{""adm1_code"":1891,""adm1_name"":""Johor""}]",0,NA,NA,NA,0,"[{""adm1_code"":1891,""adm1_name"":""johor""}]",johor province,Johor
